Sector,Sector Level 2,Sector Level 3,Sector Level 4,Technical Screening Criteria
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.2 Comprehensive Utilization of Solid Waste,1.5.2.1 Comprehensive Utilization of Mineral Resources,"Exploitation, recycling or comprehensive utilization of low-grade associated resources and energy associated minerals resources such as low concentration gas and associated natural gas; redevelopment and utilization of medium-low grade black metal mines of iron, manganese, and chromium, and of its tailings and comprehensive exploitation and utilization of associated minerals; high-efficient exploitation and utilization of non-ferrous metal resources such as copper, lead, nickel, tin, aluminum, magnesium, gold, and silver etc., redevelopment of its tailings, and comprehensive exploitation and utilization of associated minerals; redevelopment and utilization of tailings of non-metallic minerals such as kaolin, bauxite, limestone, gypsum, and phosphate ore, and comprehensive exploitation and utilization of associated minerals."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.2 Comprehensive Utilization of Solid Waste,1.5.2.2 Recycling of Waste and Discarded Resources,"Recycling of waste resources such as waste metal, waste rubber, waste plastic, waste glass, waste electrical and electronic products, waste solar equipment, waste textiles, waste mineral oil, waste biomass, waste paper(waste printed products, etc.), waste denitrification catalyst, waste cloth bag for dust removal, etc. For example, the construction and operation of facilities for recycling, sorting, and processing of waste resources, in line with the Guidelines for Calculation Methods of Product Recyclable Utilization Rate (GB/T 20862), the Technical Specifications for Waste Product Treatment of Enterprises (GB/T 27873), the Statistical Indicator System for Waste Product Recycling and Treatment of Enterprises (GB/T 28744), the Technical Specifications for Waste Plastic Recycling and Utilization(GB/T 37821), the Technical Specifications for Waste Textile Recycling (GB/T 38926), and other national standards"
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.2 Comprehensive Utilization of Solid Waste,1.5.2.3 Remanufacturing of Automobile Components and Electromechanical Products,"Construction and operation of facilities for recycling, sorting, dismantling, and reprocessing of electromechanical products such as used automobile parts and used large-scale power rotating electromechanical products."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.3 Comprehensive Utilization of Biomass Resources,1.5.3.1 Comprehensive Utilization of Urban and Rural Household Waste,"Construction and operation of facilities for the harmless treatment and utilization of resources such as household garbage, kitchen waste, urban sludge, demolition waste of buildings, traffic roads, and bridges. For example, the construction and operation of household waste sorting and treatment facilities, environmentally safe garbage incineration power plants, processing and production facilities of organic fertilizer and biodiesel from kitchen waste."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.3 Comprehensive Utilization of Biomass Resources,1.5.3.2 Recycling and Utilization of Agricultural Waste Resources,"Construction and operation of resource utilization facilities for agricultural wastes such as crop stalks, livestock and poultry feces, accessory substance of vegetables, and primary processing residues of agricultural products. For example, the construction and operation of facilities to produce biomass briquettes from crop stalks and the production of biogas from livestock and poultry feces."
1. Energy Saving and Environmental Protection Industry,1.5 Comprehensive Utilization of Resources,1.5.3 Comprehensive Utilization of Biomass Resources,1.5.3.3 Comprehensive Utilization of Sludge from Urban Sewage Treatment Plants,"Construction and operation of sludge treatment and comprehensive utilization facilities of urban sewage treatment plants. For example, the construction and operation of facilities for utilization of all types of sludge, including sludge use for betterment of land fertility (for land improvement, landscaping, forestry, and agriculture, etc.), for incineration power generation (heating, cogeneration), and for construction materials’ processing."
1. Energy Saving and Environmental Protection Industry,1.6 Green Transportation,1.6.1 Manufacturing of New Energy Vehicles and Green Ships,1.6.1.1 Manufacturing of Key Components of New Energy Vehicles and its Industrialization,"Manufacturing of core components of new energy vehicles including batteries, motors and its control systems, electrical accessories, plug-in hybrid special engines, electromechanical coupling systems, and energy recovery systems, the construction and operation of its industrial facilities, and the trading and purchasing of new and clean energy vehicles. The relevant projects should meet the requirements of the AdministrativeProvisionsontheAdmissionofNewEnergyVehicleEnterprisesand Products(Amendment No.54 of the Order of the Ministry of Industry and Information Technology, PRC)."
1. Energy Saving and Environmental Protection Industry,1.6 Green Transportation,1.6.1 Manufacturing of New Energy Vehicles and Green Ships,"1.6.1.2 Manufacturing of Facilities for Charging, Battery Replacement, and Hydrogenation","Equipment manufacturing, facility building and operation of distributed AC charging piles, centralized fast charging stations, power exchange facilities, station hydrogenation and hydrogen storage equipment, etc. The design and construction of hydrogenation stations should comply with the requirements of national standards such as the Design Specifications for Hydrogen Stations (GB 50177), the Technological Specifications for Hydrogen Stations (GB 50516) and the Technological Specifications for Safety of Hydrogen Stations (GB/T 34584)."
1. Energy Saving and Environmental Protection Industry,1.6 Green Transportation,1.6.1 Manufacturing of New Energy Vehicles and Green Ships,1.6.1.3 Manufacturing of Green Ships,"Manufacturing, purchasing, and trading of new energy ships including natural gas-powered ships, electric power ships, solar/wind energy ships, etc., and green ships such as energy-saving and new energy construction ships."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.1 Pollution Prevention and Control,"2.1.1.1 Industrial Desulfurization, Denitrification and Dust Removal Transformation","Technical upgrading of industrial boiler in desulfurization, denitrification and dust removal, desulfurization of sintering machine in iron and steel industry, denitrification in cement industry, exhaust gas heavy metal treatment, etc. that comply with national standards, such as the Principles and Requirements for the Comprehensive Utilization of Exhaust Gases in Industrial Parks (GB/T 36574), Technical Requirements for Evaluation of Operation Performance of Coal-Fired Flue Gas Denitrification Installation (GB/T 34340), Technical Requirements for Evaluation of Operation Performance of Coal-fired Flue Gas Desulfurization Equipment (GB/T 34605), Technical Requirements for Evaluation of Operation Performance of Steel Sintering Flue Gas Desulfurization and Dust Removal Equipment (GB/T 34607), etc."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.1 Pollution Prevention and Control,2.1.1.2 Integrated Treatment of Volatile Organic Compounds,"Construction and operation of comprehensive treatment for volatile organic compounds (VOCs) such as treatment facility for VOCs (including rectification of enterprises in industrial parks and industrial parks) in the petrochemical, organic chemical, pharmaceutical, industrial coating and packaging industries, as well as the oil and gas recovery facilities in oil and gas transportation and storage systems (e.g. gas stations, tank trucks, oil storage depots). Technical upgrading of production processes and production equipment designed for treating VOCs."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.1 Pollution Prevention and Control,2.1.1.3 Transformation of Ultra-Low Emission of Steel Enterprises,"Upgrading and transformation of desulfurization and denitrification facilities in the production processes of iron and steel enterprises, such as the installation of low-nitrogen burners and high-efficiency dust removal facilities for corresponding equipment in production lines; Retrofitting of production workshops and slag treatment equipment into confined spaces, upgrading of phenol cyanide wastewater treatment facilities, leakage detection and repairing of equipment and pipelines, etc. that comply with national standards, such as the Technical Specifications for Recycling and Utilizing Dust and Ash from Dry Blast Furnace (GB/T 33759)."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.2 Treatment of Sewage Water in Production,2.1.2.1 Wastewater Treatment of Major Industries,"Clean technology transitioning of major water-polluting industries, such as papermaking, coking, nitrogen fertilizers, non-ferrous metals, printing and dyeing, agricultural and sideline food processing, raw pharmaceutical ingredient manufacturing, tanning, pesticides, electroplating; and construction and operation of wastewater treatment facilities such as industrial wastewater treatment plants. For example, the treatment of phosphate ore, phosphorus chemical industry, phosphogypsum storages, and comprehensive utilization and trading of phosphogypsum, construction and operation of wastewater facilities in industries containing phosphorus pesticides, etc. that comply with national standards, such as the GuideforEvaluatingIndustrialWastewaterTreatmentandReuseTechnology (GB/T 32327)."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.2 Treatment of Sewage Water in Production,2.1.2.2 Centralized Treatment of Wastewater in Industrial-Intensive Zones,"Construction and operation of sewage pretreatment systems, sewage collection systems, and sewage centralized treatment and recovery facilities in industrial areas, such as the Economic and Technological Development Zones, High-Tech Industrial Development Zones, Export Processing Zones, etc. that comply with national standards, such as the Principles and Requirements for the Classification and Recycling of Water in the Industrial Park (GB/T 36575)."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.3 Pollution Treatment in Industrial Parks,2.1.3.1 Promotion of Centralized Treatment of Pollution,"Construction, operation and upgrading of centralized pollution treatment facilities, centralized spraying facilities in industrial parks and enterprise clusters; construction and operation of centralized dismantling and treatment facilities for recyclable wastes (e.g. scrap steel, non-ferrous metals waste, plastics waste, rubber waste); construction and technology upgrading of infrastructure (e.g. water supply, power supply, heating, roads, communications) in industrial parks and enterprise clusters, that comply with national standards, such as the Indicator System and Evaluation Methodology for Greening Industrial Park Infrastructure (GB/T 38538) and TechnicalSpecificationsforProductionofMethanolfromCokeOvenGas(GB/T 38927)."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.3 Pollution Treatment in Industrial Parks,2.1.3.2 Transformation of Major Industries into Cleaner Production,"Clean production-transitioning of high-polluting enterprises and industrial parks, including those in the fields of iron and steel, chemical, petroleum and petrochemical, non-ferrous metals, etc., to improve the environment, reduce greenhouse gas emissions and achieve efficient utilization of resources. The newly constructed, renovated and expanded facilities or projects should adopt chemical, petroleum and petrochemical processes that are listed in the Petrochemical Green Technology List(2019Edition)."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.4 Non-hazardous Alternatives and Treatment of Hazardous Waste,2.1.4.1 The Production and Usage of Non-hazardous Materials as Alternatives,"The use of non-toxic, harmless or low-toxic and low-harm raw materials in key industries, such as electrical appliances, automobiles, paints, furniture, toys, educational hardware, printing, automobile manufacturing coatings, rubber products, leather, shoemaking, etc. Technical upgrading or construction of manufacturing facility for the replacement of the use of toxic and hazardous materials containing heavy metals, organic pollutants, ozone-depleting substances, etc. For example, the construction of the production facility or the technical upgrading of technologies of the alternative products that are listed in the Catalogue of Alternatives to Toxic and Harmful Raw Materials( Products) Encouraged by the State (2016Edition), and the technical upgrading and new technology facility construction for the controlled substances that are listed in the Montreal Protocol on Substances that Deplete the Ozone Layer and its amendments."
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.4 Non-hazardous Alternatives and Treatment of Hazardous Waste,2.1.4.2 Management and Disposal of Hazardous Waste,The reduction of hazardous wastes and medical wastes listed in the National List of Hazardous Waste (published in2016) and the construction and operation of non-hazardous waste treatment facilities.
2. Clean Production Industry,2.1 Pollution Prevention and Treatment,2.1.4 Non-hazardous Alternatives and Treatment of Hazardous Waste,2.1.4.3 Transport of Hazardous Waste,Hazardous waste and medical waste transportation and operation activities included in the National List of Hazardous Waste (published in 2016).
2. Clean Production Industry,2.2 Green Agriculture,2.2.1 Comprehensive Management in Agriculture and Rural Environment,"2.2.1.1 Effective, Low-Toxicity And Low-Residue Pesticide Production and Alternatives","The manufacturing and application of the state- and industrial- endorsed effective, low-toxicity and low-residue pesticides such as those that comply with the Listof MajorVarietiesofLowToxicityandLowResiduePesticidesProducedandUsedin the Plantation Industry (2016), through the production of pesticide-producing equipment, technological enhancement of production process, and research, development and production of environmentally friendly pesticides."
2. Clean Production Industry,2.2 Green Agriculture,2.2.1 Comprehensive Management in Agriculture and Rural Environment,2.2.1.2 Treatment of Livestock and Poultry Husbandry Waste and Pollution,"Treatment of livestock and poultry husbandry wastes by developing and upgrading to cleaner poultry farming, constructing comprehensive utilization facilities for collecting and treating wastewater and manure, and upgrading and constructing air pollution prevention and treatment facilities."
2. Clean Production Industry,2.2 Green Agriculture,2.2.1 Comprehensive Management in Agriculture and Rural Environment,2.2.1.3 Recycling of Waste Agricultural Film,"Construction of mobile and fixed recycling stations as well as transportation and storage systems for waste agricultural film. Manufacturing, construction, and operation of the equipment and facilities that produce renewable particles, water leak-proof material, plastic bags, and pyrolysis oil with waste agricultural film."
2. Clean Production Industry,2.3 Comprehensive Utilization of Resources,2.3.1 Comprehensive Utilization of Solid Waste,"2.3.1.1 Harmless Treatment, Disposal and Comprehensive Utilization of Industrial Solid Waste","Construction and operation of recycling, harmless treatment and recovery facilities of industrial solid waste, such as smelting slag, industrial by-product gypsum, red mud, chemical waste residue, as well as construction and operation of harmless treatment facilities such as those for hazardous waste incineration and high-temperature melting that comply with relevant standards or policies of pollution control technology. Construction and operation of recycling facilities that use hazardous wastes as raw materials for the preparation of other industrial products, or for the utilization of resources that comply with national standards, such as the Technical Guidance for Environmental and Quality Safety Assessment Comprehensive Utilization of Industrial Solid Waste Products (GB/T 32328), the Technical Guidance for Comprehensive Utilization of Industrial Solid Waste(GB/T 32326), and the Terminology for Comprehensive Utilization of Industrial Soil (GB/T 34911)."
2. Clean Production Industry,2.3 Comprehensive Utilization of Resources,2.3.1 Comprehensive Utilization of Solid Waste,2.3.1.2 Treatment of Historical Tailings,"Upgrading of tailings pond storage system, flood drainage system, and water recirculation system; environmental treatment and restoration of historical tailings storages and other sites affected by it, such as the management and restoration of rivers affected by slag pollution at heavy metal-contaminated plots."
2. Clean Production Industry,2.3 Comprehensive Utilization of Resources,2.3.1 Comprehensive Utilization of Solid Waste,2.3.1.3 Recycling and Treatment of Packaging Waste,"Construction and operation of recycling and treatment facilities for packaging wastes such as packaging containers and materials made from paper, plastic, metal, glass, wood, or mixed materials that comply with national standards, such as the Sorting Quality Requirements for Waste Composite Packaging (GB/T 38925)."
2. Clean Production Industry,2.3 Comprehensive Utilization of Resources,2.3.2 Comprehensive Utilization of Resources in Industrial Parks,2.3.2.1 Cross-Industry Collaboration and Resources Circulation,"Establish enterprise-level collaboration across different industries in industrial parks, such as power, steel, non-ferrous metals, petroleum and petrochemical industry, chemical industry, building materials, papermaking, textile, agriculture and livestock husbandry to maximize the continuous utilization and recycling of waste resources, or to achieve cascade utilization of energy."
2. Clean Production Industry,2.3 Comprehensive Utilization of Resources,2.3.2 Comprehensive Utilization of Resources in Industrial Parks,2.3.2.2 Energy Efficiency Improvement,"Introduction and construction of resource utilization projects such as those for waste resources, tailings, associated mines in industrial parks; as well as the special or systematic upgrading of parks to improve the overall resource utilization efficiency of the industrial parks and park enterprises, by introducing, upgrading and constructing supplementary enterprises absent from the industrial chain, and utilizing resources from existing enterprises in accordance with national standards, such as the ImplementationGuidesforEnvironmentManagementSystemofComprehensive Utilization Industry of Waste Resources (GB/T 29750)."
2. Clean Production Industry,2.4 Water Saving and Efficient Use of Non-conventional Water Resources,2.4.1 Industrial Water Saving,2.4.1.1 Water Saving and Efficient Use of Water During Production,"Water-saving improvement work for industrial cooling water, thermal and process water, and washing water; recycling and reuse of steam condensate; recycling, treatment and reuse of discharged waste water; and construction and technical"
3. Clean Energy Industry,3.1 Energy Efficiency Improvement,3.1.1 Energy Saving in Power Facilities,3.1.1.1 Production of Smart Grid Products and Equipment,"Manufacturing of smart transformers, rectifiers and inductors, advanced electrical or electronic devices, smart power transmission, distribution and control equipment, UHV transmission equipment, pumped hydro storage equipment, new energy storage equipment, charging facilities, and other control products related to smart grids and new energy."
3. Clean Energy Industry,3.1 Energy Efficiency Improvement,3.1.1 Energy Saving in Power Facilities,3.1.1.2 Construction and Operation of Smart Grids,"Construction and operation of smart grid facilities with information integration, controlling, energy storage technologies and intelligent power equipment; construction and operation of grid facilities that reduce wind and light waste, improve the consumption efficiency of clean energy in order to achieve digitalized management, smart decision-making and interactive trading of electricity in the process of power generation, transmission, distribution and storage."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.1 Production of Wind Generators,"Manufacturing and trading of onshore and offshore wind turbines, wind turbine generators, wind turbine blades, bearings, cables, gearboxes, towers and other key components of 3MW and above wind turbines for plateau, low-temperature, low wind speed environments, and wind farm-related systems and equipment."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.2 Production of Solar Generators,"Manufacturing and trading of photovoltaic (PV) power generators and solar thermoelectric equipment. Specifically, PV power generator manufacturing enterprises and projects shall meet the requirements in the Specifications for the Photovoltaic Manufacturing Industry(2018 Edition) (Announcement No.2 [2018] of the Ministry of Industry and Information Technology); and the production of PV cells should meet the Level I requirements in the System of Production Assessment Index for the Photovoltaic Cell Industry (Announcement No. 21 [2016] of the National Development and Reform Commission, Ministry of Environmental Protection, and Ministry of Industry and Information Technology)."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.3 Production of Biomass Energy Utilization Equipment,"Manufacturing and trading of collection, crushing, transportation, and storage equipment for agricultural by-products such as straw and rice husk; manufacturing and trading of biomass-power generators and heating equipment, marsh gas and biogas production equipment, biomass solid and liquid fuel production equipment, and other equipment making use of biomass energy."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.4 Production of Hydropower Generators and Pumped Storage Equipment,"Manufacturing and trading of high-performance and large-capacity hydropower generators, high-head and large-capacity pumped storage equipment, thousand-megawatt large hydraulic turbine generators, variable-speed pumped storage equipment, ultra-high-head large-impact hydraulic turbine generators, seawater pumped storage equipment, and other relevant hydropower generators and pumped storage equipment."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.5 Production of Nuclear Power Equipment,"Manufacturing of the third generation advanced pressurized water reactor nuclear power plant equipment, equipment for fast neutron reactor and high-temperature gas-cooled reactor nuclear power plants, small modular reactors (SMRs), nuclear emergency equipment and nuclear grade pumps, valve equipment and other auxiliary equipment in nuclear power plants, radiation shielding materials, and safety and monitoring devices; manufacturing of uranium mining, uranium purification and conversion, uranium enrichment, and fuel element production; treatment of decommissioning nuclear facilities and radioactive waste, and manufacturing of relevant treatment equipment and equipment for comprehensive utilization of uranium associated mine."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.6 Production of Gas Turbine Equipment,"Manufacturing of gas turbine equipment such as heavy and micro gas turbines, as well as core components of gas turbines, such as ceramic cores with complex structures, highly thermal shock resistant ceramic mold shells, large-sized oriented crystal or single crystal blades, large turbine disks, high-precision rotors, high-durability bearings and sealing equipment, strong steel tie rods, and high-temperature and high-pressure burners."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.7 Production of Fuel Cell Equipment,"Manufacturing and trading of fuel cells using proton exchange membrane, direct methanol, alkaline fuel, molten carbonic acid fuel, phosphoric acid fuel, and solid oxide."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.8 Production of Geothermal Energy Utilization Equipment,"Manufacturing and trading of ground source heat pumps, high-temperature geothermal heat pumps, key equipment of geothermal absorption refrigeration systems, medium and low-temperature geothermal power generation systems and geothermal drying and hot water supply systems, and anti-corrosion and anti-incrustation equipment for geothermal energy utilization."
3. Clean Energy Industry,3.2 Clean Energy,3.2.1 Production of New Energy Equipment and Clean Energy Equipment,3.2.1.9 Production of Marine Energy Utilization Equipment,"Manufacturing and trading of marine energy utilization equipment that generates electricity from resources, such as marine tidal energy, tidal current energy, wave energy, temperature difference energy, and salt difference energy."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.1 Construction and Operation of Wind Power Facilities,Construction and operation of facilities that utilize wind energy to generate electricity.
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.2 Construction and Operation of Solar Energy Utilization Facilities,"Construction and operation of facilities that generate electricity with solar energy, including facilities for solar photovoltaic power generation, solar thermal power generation, and solar thermal power utilization. Specifically, the components selected for solar photovoltaic power generation facilities shall meet the following requirements: 1) The minimum photoelectric conversion efficiencies of polycrystalline silicon cells and monocrystalline silicon cells shall not be lower than 19% and 21%, respectively; 2) The minimum photoelectric conversion efficiencies of polycrystalline silicon cell modules and monocrystalline silicon battery modules shall not be lower than 17% and 17.8%, respectively; 3) The minimum photoelectric conversion efficiency of silicon-based, CIGS , CdTe and other thin-film battery modules shall not be lower than 12% , 14% , 14%, and 12%, respectively; 4) The attenuation rates of polycrystalline silicon battery modules and monocrystalline silicon battery modules shall not be higher than the following, i.e., 2.5% and 3%, respectively, in the first year, 0.7% annually in subsequent years, and 20% within 25 years; the attenuation rate of thin-film battery module shall not be higher than 5% in the first year, 0.4% annually in subsequent years, and 15% within 25 years."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.3 Construction and Operation of Biomass Energy Utilization Facilities,"Construction and operation of facilities that generate electricity and heat with biomass raw materials, such as agricultural and forestry wastes and municipal solid wastes. Construction and operation of facilities that produce liquid biomass fuels such as fuel ethanol, and facilities that produce biodiesel and other related products mainly from kitchen wastes such as gutter oil."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.4 Construction and Operation of Large-Scale Hydropower Facilities,"Construction and operation of facilities that utilizes the potential energy of water bodies to generate electricity without exerting serious impact on the eco-environment, including only the major large-scale hydropower projects listed in the National Renewable Energy Program and other related programs."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.5 Construction and Operation of Nuclear Power Plants,Construction and operation of facilities that release heat from controllable nuclear fission and generate electricity with third-generation and fourth-generation nuclear power technologies on the premise of ensuring environmental safety.
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.6 Construction and Operation of Geothermal Energy Utilization Facilities,"Construction and operation of indoor heating and cooling facilities that use heat pumping and other technologies to extract shallow geothermal energy, such as from rock and soil heat sources, groundwater heat sources, and surface water heat sources. Construction and operation of power facilities that generate electricity from geothermal resources, such as medium and high-temperature geothermal heat, medium and low-temperature geothermal heat, and dry heat rock."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.7 Construction and Operation of Marine Energy Utilization Facilities,"Construction and operation of power facilities that generate electricity from resources such as marine tidal energy, wave energy, tidal current energy, temperature difference energy, and salt difference energy, on the premise of not causing serious damage to marine ecology and biodiversity,"
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.8 Construction and Operation of Hydrogen Energy Utilization Facilities,"Technical setting and hydrogen energy utilization regarding clean production of hydrogen, safe and efficient storage of hydrogen, hydrogen refueling stations, hydrogen fuel cell vehicles, power generation via hydrogen fuel cells, and hydrogenated natural gas. Hydrogen safety shall meet national standards, such as the Technical Specifications for the Safe Utilization of Hydrogen (GB 4962) and the Basic Safety Requirements for the Hydrogen System (GB/T 29729). Hydrogen production via hydrolysis shall meet national standards, such as the Technical Requirements for the System of Hydrogen Production via Electrolysis (GB/T 19774) and the Safety Requirements for the System of Hydrogen Production via Pressurized Hydrolysis (GB/T 37563). Hydrogen production via pressure swing adsorption purification shall meet national standards, such as the Adsorber for Hydrogen Purification via Pressure Swing Adsorption (GB/T 29412) and the Technical Requirements for Hydrogen Purification via Pressure Swing Adsorption (GB/T 19773). Hydrogen storage and transportation shall meet national standards, such as the Stationary High-Pressure Steel Strip Stagger-Wrap Vessels for Hydrogen Storage (GB/T 26466) and the Hydrogen Storage and Transportation System (GB/T 34542). Hydrogen storage equipment for hydrogen fueling stations shall meet national standards, such as the Technical Requirements for the Safety of Hydrogen Storage Equipment of Hydrogen Fueling Stations (GB/T 34583). The design and construction of hydrogen fueling stations shall meet national standards, such as the Regulations for the Design of Hydrogen Stations (GB 50177), the Technical Regulations for Hydrogen Fueling Stations (GB 50516), and the Technical Regulations for the Safety of Hydrogen Fueling Stations (GB/T 34584). Fueling facilities shall meet national standards, such as the Specifications for Supporting Facilities for the Demonstration Operation of Hydrogen Fuel Cell Vehicles (GB/T 29124), the Technical Specifications for the Safety of Mobile Hydrogen Fueling Facilities (GB/T 31139), the Administrative Regulations for the Safe Operation of Hydrogen Fueling Facilities for Hydrogen Energy Vehicles (GB/Z 34541). The hydrogen-mixed natural gas for motor vehicles shall meet national standards, such as the Compressed Hydrogen and Natural Gas Mixed Gas for Motor Vehicles (GB/T 34537). The technologies of hydrogen fuel cell vehicles shall meet national standards, such as the Fuel Hydrogen for Proton Exchange Membrane Fuel Cell Vehicles (GB/T 37244), the Technical Specifications for the Demonstration Operation of Hydrogen Fuel Cell Electric Vehicles (GB/T 29123) and the Safety Requirements for Fuel Cell Vehicles (GB/T 24549). The stationary fuel cell power generation system shall meet national standards, such as the Stationary Fuel Cell Power Generation System (GB/T 27748)."
3. Clean Energy Industry,3.2 Clean Energy,3.2.2 Construction and Operation of Renewable Energy Facilities,3.2.2.9 Construction and Operation of Heat Pump Facilities,"Construction and operation of the facilities of heat pump heating (cooling) system such as air source heat pumps, ground water source heat pumps, surface water source heat pumps, sewage source heat pumps, soil source heat pumps, and high-temperature air energy heat pumps."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,3.2.3.1 Construction and Operation of Multi-energy Complementary Projects,"Construction of integrated energy supply equipment terminal using technologies including the triple power supply combining natural gas heating, electricity and cooling supply, distributed renewable energy and smart energy microgrid aiming at fulfilling end-users’ demand for multi-energy consumption such as electricity, heating, cooling. In order to improve the overall efficiency of the energy supply system, increase the usage of renewable energy, and reduce carbon emissions. The comprehensive energy efficiency of the equipment should be greater than or equal to 70%. Construction and operation of multi-energy complementary systems that adjust and improve the stability of the power system, such as, systems that increase the capacity of regional power grids to accept intermittent renewable energy such as wind and solar; systems that solve the problems of waste wind, solar and water energy in the regional power grid; systems that use large-scale comprehensive energy base to bring out the advantage of combining wind power, solar power, hydropower and natural gas, and complement them with thermal electricity, hydroelectricity, energy storage facilities. The waste rate of wind power of the system should be controlled within 5%, and that of solar power should be controlled within 3%."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,3.2.3.2 Operation and Construction of Energy Efficient Storage Facilities,"Construction and operation of energy-efficient storage and peak-shaving facilities, using physical energy storage, electromagnetic energy storage, electrochemical energy storage and phase change energy storage technologies to improve the flexibility, stability and reliability of renewable energy power generation, distributed energy, new energy microgrid and other systems."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,"3.2.3.3 Construction and Operation of Natural Gas Transmission, Storage, and Peak Load Regulation Facilities","Construction and operation of natural gas transmission, storage and transportation peak shaving facilities, such as long-distance natural gas pipelines, gas storage, branch pipelines, regional pipeline networks, and liquefied natural gas ( LNG ) receiving stations."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,3.2.3.4 Construction and Operation of Distributed Energy Resources (Ders) Projects,"Construction and operation of distributed energy projects such as natural gas combined heat, power and cooling, distributed renewable energy generation and geothermal heating and cooling. Energy efficiency requirements for distributed CHP energy systems and engineering projects powered by natural gas or other fossil fuels shall meet the requirements of the Energy Efficiency for Distributed CHP Energy Systems, Part 1: Fossil Energy Driving System (GB/T 33757.1). The refrigeration, heating and power units of relevant systems and engineering projects shall meet the requirements of the Technical Specifications for Distributed Thermal and Cold Power Energy Systems, Part 1: Refrigeration and Heating Unit (GB/T 36160.1), the Technical Specifications for Distributed Thermal and Cold Power Energy Systems, Part 2: Power unit (GB/T 36160.2) and other national standards."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,3.2.3.5 Construction and Operation of Pumped-Storage Power Stations,"Construction and operation of “peak-cut” pumped-storage power to improve the grid’s ability to absorb intermittent renewable energy such as wind power and solar power, thereby improving the grid’s operational flexibility, stability and reliability."
3. Clean Energy Industry,3.2 Clean Energy,3.2.3 Efficient Operation of Clean Energy,"3.2.3.6 Construction and Operation of Carbon Dioxide Capture, Utilization and Storage (CCUS) Projects","Construction and operation of emission reduction projects to capture, utilize, or store carbon dioxide emitted from the combustion of fossil energy and industrial processes."
